AREA_CONTOURID,LOCATION_FORMAT,POINT_LOCATION,SEQUENCE_NUMBER,SEGMENT_COURSE,CIRCLE_RADIUS
EVEGG2A     ,G,481559N0124150E,2,S,0
EVEGG2A     ,G,481747N0131053E,6,S,0
EVEGG2A     ,G,482158N0131535E,7,S,0
EVEGG2A     ,G,482612N0115706E,1,S,0
EVEGG2A     ,G,483455N0123426E,12,S,0
EVEGG2A     ,G,483459N0123556E,11,S,0
EVEGG2A     ,G,484000N0121424E,13,S,0
EVEGG2A     ,G,484002N0120841E,14,S,0
EVEGG2A     ,G,484204N0124532E,10,S,0
EVEGG2A     ,G,484948N0134711E,8,S,0
EVEGG2A     ,G,491511N0130931E,9,S,0
EVEGG2B     ,G,481549N0130545E,5,S,0
EVEGG2B     ,G,481553N0124758E,3,S,0
EVEGG2B     ,G,481555N0125258E,4,S,0
EVEGG2B     ,G,481559N0124150E,2,S,0
EVEGG2B     ,G,481747N0131053E,6,S,0
EVEGG2B     ,G,482158N0131535E,7,S,0
EVEGG2B     ,G,482709N0115644E,1,S,0
EVEGG2B     ,G,483455N0123426E,12,S,0
EVEGG2B     ,G,483459N0123556E,11,S,0
EVEGG2B     ,G,484000N0121424E,13,S,0
EVEGG2B     ,G,484002N0120841E,14,S,0
EVEGG2B     ,G,484204N0124532E,10,S,0
EVEGG2B     ,G,484948N0134711E,8,S,0
EVEGG2B     ,G,491511N0130931E,9,S,0
EVNDG2A     ,G,482612N0115706E,3,S,0
EVNDG2A     ,G,483400N0120049E,2,S,0
EVNDG2A     ,G,484002N0120841E,4,S,0
EVNDG2A     ,G,484003N0114739E,5,S,0
EVNDG2A     ,G,484004N0113644E,1,S,0
EVNDG2B     ,G,482709N0115644E,3,S,0
EVNDG2B     ,G,483400N0120049E,2,S,0
EVNDG2B     ,G,484002N0120841E,4,S,0
EVNDG2B     ,G,484003N0114739E,5,S,0
EVNDG2B     ,G,484004N0113644E,1,S,0
EVALB2A     ,G,484003N0114739E,6,S,0
EVALB2A     ,G,484004N0113644E,5,S,0
EVALB2A     ,G,484602N0111239E,4,S,0
EVALB2A     ,G,491000N0115800E,7,S,0
EVALB2A     ,G,491043N0103516E,3,S,0
EVALB2A     ,G,492117N0105023E,2,S,0
EVALB2A     ,G,492604N0114908E,8,S,0
EVALB2A     ,G,492630N0105800E,1,S,0
EVALB2B     ,G,484003N0114739E,6,S,0
EVALB2B     ,G,484004N0113644E,5,S,0
EVALB2B     ,G,484602N0111239E,4,S,0
EVALB2B     ,G,491000N0115800E,7,S,0
EVALB2B     ,G,491043N0103516E,3,S,0
EVALB2B     ,G,492117N0105023E,2,S,0
EVALB2B     ,G,492604N0114908E,8,S,0
EVALB2B     ,G,492630N0105800E,1,S,0
EVRDG2A     ,G,483455N0123426E,6,S,0
EVRDG2A     ,G,483459N0123556E,7,S,0
EVRDG2A     ,G,484000N0121424E,5,S,0
EVRDG2A     ,G,484002N0120841E,4,S,0
EVRDG2A     ,G,484003N0114739E,3,S,0
EVRDG2A     ,G,484204N0124532E,8,S,0
EVRDG2A     ,G,491000N0115800E,2,S,0
EVRDG2A     ,G,491511N0130931E,9,S,0
EVRDG2A     ,G,492604N0114908E,1,S,0
EVRDG2A     ,G,493123N0120159E,13,S,0
EVRDG2A     ,G,493810N0123450E,10,S,0
EVRDG2A     ,G,493908N0122736E,11,S,0
EVRDG2A     ,G,493941N0122212E,12,S,0
EVRDG2B     ,G,483455N0123426E,6,S,0
EVRDG2B     ,G,483459N0123556E,7,S,0
EVRDG2B     ,G,484000N0121424E,5,S,0
EVRDG2B     ,G,484002N0120841E,4,S,0
EVRDG2B     ,G,484003N0114739E,3,S,0
EVRDG2B     ,G,484204N0124532E,8,S,0
EVRDG2B     ,G,491000N0115800E,2,S,0
EVRDG2B     ,G,491511N0130931E,9,S,0
EVRDG2B     ,G,492604N0114908E,1,S,0
EVRDG2B     ,G,493123N0120159E,13,S,0
EVRDG2B     ,G,493810N0123450E,10,S,0
EVRDG2B     ,G,493908N0122736E,11,S,0
EVRDG2B     ,G,493941N0122212E,12,S,0
EVHOF1A     ,G,493123N0120159E,1,S,0
EVHOF1A     ,G,493810N0123450E,4,S,0
EVHOF1A     ,G,493908N0122736E,3,S,0
EVHOF1A     ,G,493941N0122212E,2,S,0
EVHOF1A     ,G,494212N0122821E,5,S,0
EVHOF1A     ,G,500216N0111944E,9,S,0
EVHOF1A     ,G,501126N0122019E,6,S,0
EVHOF1A     ,G,501425N0122106E,7,S,0
EVHOF1A     ,G,503002N0112014E,8,S,0
EVHOF1B     ,G,493123N0120159E,1,S,0
EVHOF1B     ,G,493810N0123450E,4,S,0
EVHOF1B     ,G,493908N0122736E,3,S,0
EVHOF1B     ,G,493941N0122212E,2,S,0
EVHOF1B     ,G,494212N0122821E,5,S,0
EVHOF1B     ,G,500216N0111944E,9,S,0
EVHOF1B     ,G,501126N0122019E,6,S,0
EVHOF1B     ,G,501425N0122106E,7,S,0
EVHOF1B     ,G,503002N0112014E,8,S,0
EVBBG1A     ,G,492604N0114908E,6,S,0
EVBBG1A     ,G,492630N0105800E,5,S,0
EVBBG1A     ,G,493123N0120159E,7,S,0
EVBBG1A     ,G,493917N0104556E,4,S,0
EVBBG1A     ,G,500216N0111944E,8,S,0
EVBBG1A     ,G,501113N0101518E,3,S,0
EVBBG1A     ,G,503000N0103118E,2,S,0
EVBBG1A     ,G,503002N0112014E,9,S,0
EVBBG1A     ,G,503927N0104210E,1,S,0
EVBBG1B     ,G,492604N0114908E,6,S,0
EVBBG1B     ,G,492630N0105800E,5,S,0
EVBBG1B     ,G,493123N0120159E,7,S,0
EVBBG1B     ,G,493917N0104556E,4,S,0
EVBBG1B     ,G,500216N0111944E,8,S,0
EVBBG1B     ,G,501113N0101518E,3,S,0
EVBBG1B     ,G,503000N0103118E,2,S,0
EVBBG1B     ,G,503002N0112014E,9,S,0
EVBBG1B     ,G,503927N0104210E,1,S,0
EVBBG2A     ,G,503002N0112014E,2,S,0
EVBBG2A     ,G,503927N0104210E,1,S,0
EVBBG2A     ,G,504029N0112025E,3,S,0
EVBBG2B     ,G,503002N0112014E,2,S,0
EVBBG2B     ,G,503927N0104210E,1,S,0
EVBBG2B     ,G,504029N0112025E,3,S,0
EVHOF2A     ,G,501425N0122106E,3,S,0
EVHOF2A     ,G,501807N0122220E,4,S,0
EVHOF2A     ,G,501932N0122624E,5,S,0
EVHOF2A     ,G,502557N0124502E,6,S,0
EVHOF2A     ,G,503002N0112014E,2,S,0
EVHOF2A     ,G,503637N0121852E,7,S,0
EVHOF2A     ,G,504029N0112025E,1,S,0
EVHOF2A     ,G,504044N0113107E,10,S,0
EVHOF2A     ,G,504112N0115314E,9,S,0
EVHOF2A     ,G,504127N0120652E,8,S,0
EVHOF2B     ,G,501425N0122106E,3,S,0
EVHOF2B     ,G,501807N0122220E,4,S,0
EVHOF2B     ,G,501932N0122624E,5,S,0
EVHOF2B     ,G,502557N0124502E,6,S,0
EVHOF2B     ,G,503002N0112014E,2,S,0
EVHOF2B     ,G,503637N0121852E,7,S,0
EVHOF2B     ,G,504029N0112025E,1,S,0
EVHOF2B     ,G,504044N0113107E,10,S,0
EVHOF2B     ,G,504112N0115314E,9,S,0
EVHOF2B     ,G,504127N0120652E,8,S,0
EVTRGS1A    ,G,504044N0113107E,1,S,0
EVTRGS1A    ,G,504112N0115314E,2,S,0
EVTRGS1A    ,G,504127N0120652E,3,S,0
EVTRGS1A    ,G,504854N0113026E,5,S,0
EVTRGS1A    ,G,504933N0120220E,4,S,0
EVTRGS1B    ,G,504044N0113107E,1,S,0
EVTRGS1B    ,G,504112N0115314E,2,S,0
EVTRGS1B    ,G,504127N0120652E,3,S,0
EVTRGS1B    ,G,504854N0113026E,5,S,0
EVTRGS1B    ,G,504933N0120220E,4,S,0
EVTRGS1C    ,G,504044N0113107E,1,S,0
EVTRGS1C    ,G,504112N0115314E,2,S,0
EVTRGS1C    ,G,504127N0120652E,3,S,0
EVTRGS1C    ,G,504854N0113026E,5,S,0
EVTRGS1C    ,G,504933N0120220E,4,S,0
EVTRGS3A    ,G,512726N0124937E,1,S,0
EVTRGS3A    ,G,513140N0124009E,3,S,0
EVTRGS3A    ,G,513614N0125105E,2,S,0
EVTRGS3B    ,G,512726N0124937E,1,S,0
EVTRGS3B    ,G,513140N0124009E,3,S,0
EVTRGS3B    ,G,513614N0125105E,2,S,0
EVTRGS3C    ,G,512726N0124937E,1,S,0
EVTRGS3C    ,G,513140N0124009E,3,S,0
EVTRGS3C    ,G,513614N0125105E,2,S,0
EVTRGS2A    ,G,503927N0104210E,4,S,0
EVTRGS2A    ,G,504029N0112025E,5,S,0
EVTRGS2A    ,G,504044N0113107E,6,S,0
EVTRGS2A    ,G,504127N0120652E,9,S,0
EVTRGS2A    ,G,504854N0113026E,7,S,0
EVTRGS2A    ,G,504912N0103349E,3,S,0
EVTRGS2A    ,G,504933N0120220E,8,S,0
EVTRGS2A    ,G,505054N0103839E,2,S,0
EVTRGS2A    ,G,511540N0123116E,10,S,0
EVTRGS2A    ,G,512726N0124937E,11,S,0
EVTRGS2A    ,G,513140N0124009E,1,S,0
EVTRGS2B    ,G,503927N0104210E,4,S,0
EVTRGS2B    ,G,504029N0112025E,5,S,0
EVTRGS2B    ,G,504044N0113107E,6,S,0
EVTRGS2B    ,G,504127N0120652E,9,S,0
EVTRGS2B    ,G,504854N0113026E,7,S,0
EVTRGS2B    ,G,504912N0103349E,3,S,0
EVTRGS2B    ,G,504933N0120220E,8,S,0
EVTRGS2B    ,G,505054N0103839E,2,S,0
EVTRGS2B    ,G,511540N0123116E,10,S,0
EVTRGS2B    ,G,512726N0124937E,11,S,0
EVTRGS2B    ,G,513140N0124009E,1,S,0
EVTRGN2A    ,G,505054N0103839E,1,S,0
EVTRGN2A    ,G,510238N0103501E,11,S,0
EVTRGN2A    ,G,512000N0102934E,10,S,0
EVTRGN2A    ,G,512002N0102315E,9,S,0
EVTRGN2A    ,G,513140N0124009E,2,S,0
EVTRGN2A    ,G,513400N0104200E,8,S,0
EVTRGN2A    ,G,513534N0123123E,3,S,0
