AIRSPACE_VOLUMEID,SECTOR_VOLUMEID,FLIGHT_LEVEL,SUBLEVELS
EVALB1A     ,EDMMALB     ,,
EVALB1B     ,EDMMALB     ,,
EVALB2A     ,EDMMALB     ,,
EVALB2B     ,EDUUDON1    ,,
EVALP1BI    ,EDUUALP1    ,,
EVALP1CI    ,EDUUALP1    ,,
EVALP1DI    ,EDUUALP1    ,,
EVALP2CI    ,EDUUALP1    ,,
EVALUKA1AX  ,EPWWB       ,,
EVALUKA1BI  ,EDUUOSE1    ,,
EVALUKA1CI  ,EDUUOSE1    ,,
EVALUKA2BI  ,EDUUOSE1    ,,
EVALUKA2CI  ,EDUUOSE1    ,,
EVALUKA2NAX ,EPWWB       ,,
EVALUKA2SAX ,EPWWD       ,,
EVANSB1AX   ,EDMMALB     ,,
EVBBG1A     ,EDMMBBG     ,,
EVBBG1B     ,EDUUERL1    ,,
EVBBG2A     ,EDMMBBG     ,,
EVBBG2B     ,EDUUSAL1    ,,
EVBINKA1AX  ,EPWWB       ,,
EVBINKA1BI  ,EDUUOSE1    ,,
EVBINKA1CI  ,EDUUOSE1    ,,
EVCHI1BI    ,EDUUCHI1    ,,
EVCHI1CI    ,EDUUCHI1    ,,
EVCHI1DI    ,EDUUCHI1    ,,
EVDMN1A     ,EDMMDMN     ,,
EVDMN1B     ,EDMMTEG     ,,
EVDMN1BA    ,EDMMNDG     ,,
EVDMN1BC    ,EDMMEGG     ,,
EVDMS1A     ,EDMMDMN     ,,
EVDMS1B     ,EDMMEGG     ,,
EVDMS1BA    ,EDMMTEG     ,,
EVDMS1BB    ,EDMMNDG     ,,
EVDMS1BC    ,EDMMFUE     ,,
EVEDMM11AX  ,EDMMNDG     ,,
EVEDMM12AX  ,EDMMFUE     ,,
EVEDMM13AX  ,EDMMZUG     ,,
EVEDMM14AX  ,EDMMSTA     ,,
EVEDMM15AX  ,EDMMTEG     ,,
EVEDMM21AX  ,EDMMALB     ,,
EVEDMM21BX  ,EDMMALB     ,,
EVEDMM22AX  ,EDMMWLD     ,,
EVEDMM22BX  ,EDMMWLD     ,,
EVEDMM23BX  ,EDMMNDG     ,,
EVEDMM24AX  ,EDMMFUE     ,,
EVEDMM24BX  ,EDMMFUE     ,,
EVEDMM25AX  ,EDMMNDG     ,,
EVEDMM25BX  ,EDMMNDG     ,,
EVEDMM31AX  ,EDMMNDG     ,,
EVEDMM32AX  ,EDMMFUE     ,,
EVEDMM33AX  ,EDMMSTA     ,,
EVEDMM34AX  ,EDMMTEG     ,,
EVEDMM37AX  ,EDMMNDG     ,,
EVEDMM8AX   ,EDMMTRGS    ,,
EVEDMM8BX   ,EDMMTRGS    ,,
EVEDMM9AX   ,EDMMSASH    ,,
EVEDMM9BX   ,EDMMSASH    ,,
EVEDWW1AX   ,EDWWMRZ     ,,
EVEDWW2AX   ,EDWWMAR     ,,
EVEDWW3AX   ,EDWWMAR     ,,
EVEDWW4AX   ,EDWWBOR     ,,
EVEDWW6AX   ,EDWWFLG     ,,
EVEDWW8AX   ,EDWWFLG     ,,
EVEDYY1AX   ,EDYYLC      ,,
EVEDYY1BX   ,EDYYLH      ,,
EVEDYY2AX   ,EDYYOC      ,,
EVEDYY2BX   ,EDYYOH      ,,
EVEDYY3AX   ,EDYYRC      ,,
EVEDYY3BX   ,EDYYRVDL    ,,
EVEDYY3CX   ,EDYYRH      ,,
EVEDYY4AX   ,EDYYMC      ,,
EVEDYY4BX   ,EDYYMVDL    ,,
EVEDYY4CX   ,EDYYMH      ,,
EVEDYY5AX   ,EDYYSC      ,,
EVEDYY5BX   ,EDYYSVDL    ,,
EVEDYY5CX   ,EDYYSH      ,,
EVEDYY6AX   ,EDYYCC      ,,
EVEDYY6BX   ,EDYYCVDL    ,,
EVEDYY6CX   ,EDYYCH      ,,
EVEDYY7AX   ,EDYYHC      ,,
