AREA_CONTOURID,LONG_DESCRIPTION,CONTOUR_FIGURE
AISTA1AB    ,,P
AIYEDGG19XA ,,P
AIYEDGG19XB ,,P
AIYEDGG11XA ,,P
AIYEDGG11XC ,,P
AIZAOIDEF   ,,P
AIFRK5A     ,,P
AIFRK5B     ,,P
AIFRK6A     ,,P
AIFRK6B     ,,P
AIFRK7A     ,,P
AIFRK7B     ,,P
AIFRK1A     ,,P
AIFRK1B     ,,P
AIFRK2A     ,,P
AIFRK2B     ,,P
AITRGL2A    ,,P
AITRGL2B    ,,P
AITRGL4A    ,,P
AITRGL4B    ,,P
AIEGG2A     ,,P
AIEGG2B     ,,P
AINDG2A     ,,P
AINDG2B     ,,P
AIALB2A     ,,P
AIALB2B     ,,P
AIRDG2A     ,,P
AIRDG2B     ,,P
AIHOF1A     ,,P
AIHOF1B     ,,P
AIBBG1A     ,,P
AIBBG1B     ,,P
AIBBG2A     ,,P
AIBBG2B     ,,P
AIHOF2A     ,,P
AIHOF2B     ,,P
AITRGS1A    ,,P
AITRGS1B    ,,P
AITRGS1C    ,,P
AITRGS3A    ,,P
AITRGS3B    ,,P
AITRGS3C    ,,P
AITRGS2A    ,,P
AITRGS2B    ,,P
AITRGN2A    ,,P
AITRGN2B    ,,P
AITRGN1A    ,,P
AITRGN1B    ,,P
AITRGN3A    ,,P
AITRGN3B    ,,P
AITRGN3C    ,,P
AITRGN4A    ,,P
AITRGN4B    ,,P
AITRGN4C    ,,P
HVABUH      ,,P
HVBOMBH     ,,P
HVDEMAH     ,,P
HVDKBH      ,,P
HVDRNH      ,,P
HVKOVH      ,,P
HVLANDU     ,,P
HVLATH      ,,P
HVNIMH      ,,P
HVRMSH      ,,P
HVSOPLH     ,,P
HVSULH      ,,P
HVTESGH     ,,P
HVTONSH     ,,P
HVWURH      ,,P
MACENTRAL410,,P
MAEAST410   ,,P
MASOUTH410  ,,P
MAWEST410   ,,P
MBCENTRAL410,,P
MBEAST410   ,,P
MBSOUTH410  ,,P
MBWEST410   ,,P
MCCENTRAL410,,P
MCEAST410   ,,P
MCSOUTH410  ,,P
MCWEST410   ,,P
MDCENTRAL410,,P
MDEAST410   ,,P
MDSOUTH410  ,,P
MDWEST410   ,,P
MEEAST410   ,,P
MEWEST410   ,,P
MFEAST410   ,,P
MFWEST410   ,,P
MGEAST410   ,,P
MGWEST410   ,,P
MHEAST410   ,,P
MIEAST410   ,,P
SUADEXAA    ,,P
SUADEXAB    ,,P
SUADEXAC    ,,P
SUADEXAD    ,,P
SUADEXAE    ,,P
SUBASIC1    ,,P
SUBASIC1A   ,,P
SUBASIC1B   ,,P
SUBASIC1C   ,,P
SUBASIC1D   ,,P
SUBASIC1E   ,,P
SUBASIC1N   ,,P
SUBASIC1NH  ,,P
SUBASIC2    ,,P
SUBASIC2A   ,,P
SUBASIC2B   ,,P
SUBASIC2C   ,,P
SUBASIC2D   ,,P
SUBASIC2E   ,,P
SUBASIC2N   ,,P
SUE11       ,,P
SUE12       ,,P
SUE13       ,,P
SUE14       ,,P
SUE15       ,,P
SUE21       ,,P
SUE99       ,,P
SUEDD47A    ,,P
SUEDD47B    ,,P
SUEDD47C    ,,P
SUEDR136A   ,,P
SUEDR136C   ,,P
SUEDR33A    ,,P
SUEDR33B    ,,P
SUEPD24     ,,P
SUEPD57     ,,P
SUFRENCHCORN,,P
SUGH2015A   ,,P
SUGH2015B   ,,P
SUGH2015C   ,,P
SUJANIN     ,,P
SUK01       ,,P
SUK02       ,,P
SUK03       ,,P
SUK04       ,,P
SUK05       ,,P
SUK06       ,,P
SULASER     ,,C
SULKTSA1    ,,P
SULKTSA4    ,,P
SUMORE101   ,,P
SUMORE102   ,,P
SUMORE111   ,,P
SUMORE112   ,,P
SUOR41      ,,P
SUOR42      ,,P
SUOR43      ,,P
SUOR44      ,,P
SUOR51      ,,P
SUOR52      ,,P
SUOR53      ,,P
SUOR54      ,,P
SUOR55      ,,P
SUOR56      ,,P
SUOR57      ,,P
SUOR58      ,,P
SUOR59      ,,P
SUOR61      ,,P
SUOR71      ,,P
SUOR81      ,,P
SUOR82      ,,P
SUOR83      ,,P
SUOR84      ,,P
SUOR85      ,,P
SUOR86      ,,P
SUOR87      ,,P
SUOR88      ,,P
SUTINA      ,,P
SUTP1       ,,P
SUTP1ANORTH ,,P
SUTP1ASOUTH ,,P
SUTRA205    ,,P
SUTRA208A   ,,P
SUTRA208B   ,,P
SUTRA305    ,,P
SUTRA305A   ,,P
SUTRA305AD  ,,P
SUTRA305B   ,,P
SUTRA305BC  ,,P
SUTRA305C   ,,P
SUTRA305D   ,,P
SUTRA307    ,,P
SUTRA307A   ,,P
SUTRA307B   ,,P
SUTRA307D   ,,P
SUTRA307N   ,,P
SUTRA307S   ,,P
SUTRA308    ,,P
SUTRA310    ,,P
SUTTA       ,,P
EVYEDGG14X  ,,P
EVYEDGG15X  ,,P
EVYEDGG12X  ,,P
EVYEDGG18X  ,,P
EVYEDGG06X  ,,P
EVYEDGG04X  ,,P
EVYLOW5X    ,,P
EVYLOW4X    ,,P
EVYLOW3X    ,,P
EVYEDGG09X  ,,P
EVREIMS1AI  ,,P
EVREIMS1BI  ,,P
EVREIMS2AI  ,,P
EVREIMS2BI  ,,P
EVREIMS2CI  ,,P
EVNTM1AI    ,,P
EVNTM1BI    ,,P
EVNTM1CI    ,,P
EVBINKA1AX  ,,P
EVBINKA1BI  ,,P
EVBINKA1CI  ,,P
EVALUKA1AX  ,,P
EVALUKA1BI  ,,P
EVALUKA1CI  ,,P
EVALUKA2BI  ,,P
EVALUKA2CI  ,,P
EVRISOK1AX  ,,P
EVRISOK1BI  ,,P
EVRISOK1CI  ,,P
EVEDYY6AX   ,,P
EVEDYY6BX   ,,P
EVEDYY2AX   ,,P
EVEDYY2BX   ,,P
EVEDYY3AX   ,,P
EVEDYY3BX   ,,P
EVEDYY1AX   ,,P
EVEDYY1BX   ,,P
EVYLOW1X    ,,P
EVLFEELOWX  ,,P
EVLFEE2AX   ,,P
EVLFEE2BX   ,,P
EVLFEE2CX   ,,P
EVLFEE1AX   ,,P
EVLFEE1BX   ,,P
EVLFEE1CX   ,,P
EVEKDK1AX   ,,P
EVEKDK1BX   ,,P
EVEKDK1CX   ,,P
EVESMM1AX   ,,P
EVESMM1BX   ,,P
EVESMM1CX   ,,P
EVEPWW3AX   ,,P
EVEPWW1AX   ,,P
EVEPWW2AX   ,,P
EVALUKA2SAX ,,P
EVALUKA2NAX ,,P
