AIRSPACE_VOLUMEID,SECTOR_VOLUMEID
AIALB1A     ,EDMMALB
AIALB1B     ,EDMMALB
AIALB2A     ,EDMMALB
AIALB2B     ,EDUUDON1
AIALP1BI    ,EDUUALP1
AIALP1CI    ,EDUUALP1
AIALP1DI    ,EDUUALP1
AIALP2CI    ,EDUUALP1
AIALUKA1AX  ,EPWWB
AIALUKA1BI  ,EDUUOSE1
AIALUKA1CI  ,EDUUOSE1
AIALUKA2BI  ,EDUUOSE1
AIALUKA2CI  ,EDUUOSE1
AIALUKA2NAX ,EPWWB
AIALUKA2SAX ,EPWWD
AIANSB1AX   ,EDMMALB
AIBBG1A     ,EDMMBBG
AIBBG1B     ,EDUUERL1
AIBBG2A     ,EDMMBBG
AIBBG2B     ,EDUUSAL1
AIBINKA1AX  ,EPWWB
AIBINKA1BI  ,EDUUOSE1
AIBINKA1CI  ,EDUUOSE1
AICHI1BI    ,EDUUCHI1
AICHI1CI    ,EDUUCHI1
AICHI1DI    ,EDUUCHI1
AIDMN1A     ,EDMMDMN
AIDMN1B     ,EDMMTEG
AIDMN1BA    ,EDMMNDG
AIDMN1BC    ,EDMMEGG
AIDMS1B     ,EDMMEGG
AIDMS1BA    ,EDMMTEG
AIDMS1BB    ,EDMMNDG
AIDMS1BC    ,EDMMFUE
AIEDMM11AX  ,EDMMNDG
AIEDMM12AX  ,EDMMFUE
AIEDMM13AX  ,EDMMZUG
AIEDMM14AX  ,EDMMSTA
AIEDMM15AX  ,EDMMTEG
AIEDMM21AX  ,EDMMALB
AIEDMM21BX  ,EDMMALB
AIEDMM22AX  ,EDMMWLD
AIEDMM22BX  ,EDMMWLD
AIEDMM23AX  ,EDMMWLD
AIEDMM23BX  ,EDMMNDG
AIEDMM24AX  ,EDMMFUE
AIEDMM24BX  ,EDMMFUE
AIEDMM25AX  ,EDMMNDG
AIEDMM25BX  ,EDMMNDG
AIEDMM31AX  ,EDMMNDG
AIEDMM32AX  ,EDMMFUE
AIEDMM33AX  ,EDMMSTA
AIEDMM34AX  ,EDMMTEG
AIEDMM37AX  ,EDMMNDG
AIEDMM8AX   ,EDMMTRGS
AIEDMM8BX   ,EDMMTRGS
AIEDMM9AX   ,EDMMSASH
AIEDMM9BX   ,EDMMSASH
AIEDWW1AX   ,EDWWMRZ
AIEDWW2AX   ,EDWWMAR
AIEDWW3AX   ,EDWWMAR
AIEDWW4AX   ,EDWWBOR
AIEDWW6AX   ,EDWWFLG
AIEDWW8AX   ,EDWWFLG
AIEDYY1AX   ,EDYYLC
AIEDYY1BX   ,EDYYLH
AIEDYY2AX   ,EDYYOC
AIEDYY2BX   ,EDYYOH
AIEDYY3AX   ,EDYYRC
AIEDYY3BX   ,EDYYRVDL
AIEDYY3CX   ,EDYYRH
AIEDYY4AX   ,EDYYMC
AIEDYY4BX   ,EDYYMVDL
AIEDYY4CX   ,EDYYMH
AIEDYY5AX   ,EDYYSC
AIEDYY5BX   ,EDYYSVDL
AIEDYY5CX   ,EDYYSH
AIEDYY6AX   ,EDYYCC
AIEDYY6BX   ,EDYYCVDL
AIEDYY6CX   ,EDYYCH
AIEDYY7AX   ,EDYYHC
AIEDYY7BX   ,EDYYHVDL
AIEDYY7CX   ,EDYYHH
AIEGG1PAR   ,EDMMEGG
AIEGG2A     ,EDMMEGG
AIEGG2B     ,EDUUDON1
AIEKDK1AX   ,EDWWLOW
AIEKDK1BX   ,EDUUOSE1
AIEKDK1CX   ,EDUUOSE1
AIEKSAK1AX  ,EDGGPADH
AIEPWW1AX   ,EPWWT
AIEPWW2AX   ,EPWWD
AIEPWW3AX   ,EPWWB
AIESMM1AX   ,EDUUOSE1
AIESMM1BX   ,EDUUOSE1
AIESMM1CX   ,EDUUOSE1
AIFFM1AI    ,EDUUFFM1
AIFFM1BI    ,EDUUFFM1
AIFFM1CI    ,EDUUFFM1
AIFFM1DI    ,EDUUFFM1
AIFFM1EI    ,EDUUFFM1
AIFRK1A     ,EDMMFRKL
AIFRK1B     ,EDMMALB
AIFRK2A     ,EDMMFRKL
AIFRK2B     ,EDMMRDG
AIFRK3A     ,EDGGDKB
AIFRK3B     ,EDMMFRKL
AIFRK3BA    ,EDGGDKB
AIFRK3C     ,EDMMFRKL
AIFRK3D     ,EDGGKTG
AIFRK4A     ,EDMMFRKL
AIFRK4AB    ,EDMMFRKL
AIFRK4B     ,EDMMNDG
AIFRK4BA    ,EDGGREU
AIFRK4C     ,EDMMWLD
AIFRK4CA    ,EDGGDKB
AIFRK4D     ,EDMMWLD
AIFRK4DA    ,EDGGDKB
AIFRK5A     ,EDMMFRKL
AIFRK5B     ,EDMMBBG
AIFRK6A     ,EDMMFRKL
AIFRK6B     ,EDMMHOF
AIFRK7A     ,EDMMFRKL
AIFRK7B     ,EDGGKTG
AIFUE1A     ,EDMMLCHL
AIFUE1AB    ,LSAZLOW
AIFUE1B     ,EDMMFUE
AIFUE1C     ,LSAZLOW
AIFUE1D     ,EDMMFUE
AIFUE1E     ,EDMMFUE
AIFUL1AI    ,EDUUFUL1
AIFUL1BI    ,EDUUFUL1
AIFUL1CI    ,EDUUFUL1
AIFUL1DI    ,EDUUFUL1
AIHILFE1AX  ,EDGGGED
AIHILFE2AX  ,EDGGGED
AIHOF1A     ,EDMMHOF
AIHOF1B     ,EDUUERL1
AIHOF2A     ,EDMMHOF
AIHOF2B     ,EDUUERL1
AIHVL1BI    ,EDUUHVL1
AIHVL1CI    ,EDUUHVL1
AIISA1CI    ,EDUUISA1
AIISA1DI    ,EDUUISA1
AIISA1EI    ,EDUUISA1
AIKAMUC1AI  ,EDUUTGO1
AIKAMUC1BI  ,EDUUTGO1
AIKAMUC1CI  ,EDUUTGO1
AIKAMUC1DI  ,EDUUTGO1
AIKEMAD1AX  ,EDYYSC
AIKEMAD1BX  ,EDYYSC
AIKEMAD1CI  ,EDUUFUL1
AIKEMAD1DI  ,EDUUFUL1
AIKEMAD1EI  ,EDUUFUL1
AILCHA      ,EDGGREU
AILCHAB     ,EDGGREU
AILCHAC     ,EDMMLCHL
AILCHB      ,EDGGREU
AILCHBA     ,EDMMLCHL
AILCHC      ,EDGGREU
AILCHCA     ,EDMMNDG
AILCHCB     ,EDMMFUE
AILCHD      ,EDMMNDG
AILCHDA     ,EDMMFUE
AILFEE1AX   ,EDUUNTM1
AILFEE1BX   ,EDUUNTM1
AILFEE1CX   ,EDUUNTM1
