CONDITIONID,MINIMUM_RFL,MAXIMUM_RFL,MINIMUM_SCL,MAXIMUM_SCL,BOUNDARY_SIDE,REACHING_MODE,CROSSING_LEVEL,FORCE_INDICATOR,MAINTAIN_AFTER
AAG2M240        ,240,999,0,999,R,L,240,N,Y
AEP1M290        ,290,999,0,999,R,L,290,N,Y
AGG1M050        ,50,999,0,999,R,L,50,N,Y
AGG1M080        ,80,999,0,999,R,L,80,N,Y
AGG1M090        ,90,999,0,999,R,L,90,N,Y
AGG1M110        ,110,999,0,999,R,L,110,N,Y
AGG1M200        ,200,999,0,999,R,L,200,N,Y
AGG1M220        ,220,999,0,999,R,L,220,N,Y
AGG1M230        ,230,999,0,999,R,L,230,N,Y
AGG1M240        ,240,999,0,999,R,L,240,N,Y
AGG2M080        ,80,999,0,999,R,L,80,N,Y
AGG2M090        ,90,999,0,999,R,L,90,N,Y
AGG2M200        ,200,999,0,999,R,L,200,N,Y
AGG2M220        ,220,999,0,999,R,L,220,N,Y
AGG3M080        ,80,999,0,999,R,L,80,N,Y
AGG3M220        ,220,999,0,999,R,L,220,N,Y
AGG4M220        ,220,999,0,999,R,L,220,N,Y
AGG5M220        ,220,999,0,999,R,L,220,N,Y
AGG6M220        ,220,999,0,999,R,L,220,N,Y
ALI1M230        ,230,999,0,999,R,L,230,N,Y
ALI1M290        ,290,999,0,999,R,L,290,N,Y
ALI1M310        ,310,999,0,999,R,L,310,N,Y
ALI2M230        ,230,999,0,999,R,L,230,N,Y
ALI2M290        ,290,999,0,999,R,L,290,N,Y
ALI2M310        ,310,999,0,999,R,L,310,N,Y
ALI3M310        ,310,999,0,999,R,L,310,N,Y
ALI4M310        ,310,999,0,999,R,L,310,N,Y
ALI5M310        ,310,999,0,999,R,L,310,N,Y
ALK1M110        ,110,999,0,999,R,L,110,N,Y
ALK1M140        ,140,999,0,999,R,L,140,N,Y
ALK1M170        ,170,999,0,999,R,L,170,N,Y
ALK1M180        ,180,999,0,999,R,L,180,N,Y
ALK1M190        ,190,999,0,999,R,L,190,N,Y
ALK1M220        ,220,999,0,999,R,L,220,N,Y
ALK1M230        ,230,999,0,999,R,L,230,N,Y
ALK1M250        ,250,999,0,999,R,L,250,N,Y
ALK1M270        ,270,999,0,999,R,L,270,N,Y
ALK1M310        ,310,999,0,999,R,L,310,N,Y
ALK2M190        ,190,999,0,999,R,L,190,N,Y
ALK2M230        ,230,999,0,999,R,L,230,N,Y
ALO1M080        ,80,999,0,999,R,L,80,N,Y
ALO1M090        ,90,999,0,999,R,L,90,N,Y
ALO1M130        ,130,999,0,999,R,L,130,N,Y
ALO1M150        ,150,999,0,999,R,L,150,N,Y
ALO1M160        ,160,999,0,999,R,L,160,N,Y
ALO1M270        ,270,999,0,999,R,L,270,N,Y
ALO2M080        ,80,999,0,999,R,L,80,N,Y
ALO2M130        ,130,999,0,999,R,L,130,N,Y
ALO2M160        ,160,999,0,999,R,L,160,N,Y
ALS1M080        ,80,999,0,999,R,L,80,N,Y
ALS1M160        ,160,999,0,999,R,L,160,N,Y
ALS1M190        ,190,999,0,999,R,L,190,N,Y
ALS1M200        ,200,999,0,999,R,L,200,N,Y
ALS1M240        ,240,999,0,999,R,L,240,N,Y
ALS1M280        ,280,999,0,999,R,L,280,N,Y
AUU1M280        ,280,999,0,999,R,L,280,N,Y
AUU1M300        ,300,999,0,999,R,L,300,N,Y
AUU2M280        ,280,999,0,999,R,L,280,N,Y
AUU3M280        ,280,999,0,999,R,L,280,N,Y
AWW1M080        ,80,999,0,999,R,L,80,N,Y
AWW1M100        ,100,999,0,999,R,L,100,N,Y
AWW1M110        ,110,999,0,999,R,L,110,N,Y
AWW1M120        ,120,999,0,999,R,L,120,N,Y
AWW1M130        ,130,999,0,999,R,L,130,N,Y
AWW1M180        ,180,999,0,999,R,L,180,N,Y
AWW1M190        ,190,999,0,999,R,L,190,N,Y
AWW1M220        ,220,999,0,999,R,L,220,N,Y
AWW1M230        ,230,999,0,999,R,L,230,N,Y
AWW1M240        ,240,999,0,999,R,L,240,N,Y
AWW1M290        ,290,999,0,999,R,L,290,N,Y
AWW2M080        ,80,999,0,999,R,L,80,N,Y
AWW2M110        ,110,999,0,999,R,L,110,N,Y
AWW2M120        ,120,999,0,999,R,L,120,N,Y
AWW2M180        ,180,999,0,999,R,L,180,N,Y
AWW2M220        ,220,999,0,999,R,L,220,N,Y
AWW2M230        ,230,999,0,999,R,L,230,N,Y
AWW3M180        ,180,999,0,999,R,L,180,N,Y
AWW3M220        ,220,999,0,999,R,L,220,N,Y
DEP1M310        ,310,999,0,999,R,S,310,N,Y
DGG1M080        ,80,999,0,999,R,S,80,N,Y
DGG1M130        ,130,999,0,999,R,S,130,N,Y
DGG1M150        ,150,999,0,999,R,S,150,N,Y
DGG1M160        ,160,999,0,999,R,S,160,N,Y
DGG1M180        ,180,999,0,999,R,S,180,N,Y
DGG1M200        ,200,999,0,999,R,S,200,N,Y
DGG1M210        ,210,999,0,999,R,S,210,N,Y
DGG1M220        ,220,999,0,999,R,S,220,N,Y
DGG1M240        ,240,999,0,999,R,S,240,N,Y
DGG2M080        ,80,999,0,999,R,S,80,N,Y
DGG2M130        ,130,999,0,999,R,S,130,N,Y
DGG2M180        ,180,999,0,999,R,S,180,N,Y
DGG2M200        ,200,999,0,999,R,S,200,N,Y
DGG2M220        ,220,999,0,999,R,S,220,N,Y
DGG3M130        ,130,999,0,999,R,S,130,N,Y
DGG3M180        ,180,999,0,999,R,S,180,N,Y
DGG3M200        ,200,999,0,999,R,S,200,N,Y
DGG4M130        ,130,999,0,999,R,S,130,N,Y
DGG4M200        ,200,999,0,999,R,S,200,N,Y
DLI1M270        ,270,999,0,999,R,S,270,N,Y
DLI1M310        ,310,999,0,999,R,S,310,N,Y
DLI2M310        ,310,999,0,999,R,S,310,N,Y
DLI3M310        ,310,999,0,999,R,S,310,N,Y
DLI4M310        ,310,999,0,999,R,S,310,N,Y
DLK1M090        ,90,999,0,999,R,S,90,N,Y
DLK1M130        ,130,999,0,999,R,S,130,N,Y
DLK1M150        ,150,999,0,999,R,S,150,N,Y
DLK1M160        ,160,999,0,999,R,S,160,N,Y
DLK1M230        ,230,999,0,999,R,S,230,N,Y
DLK1M260        ,260,999,0,999,R,S,260,N,Y
DLK1M290        ,290,999,0,999,R,S,290,N,Y
DLK1M300        ,300,999,0,999,R,S,300,N,Y
DLK1M310        ,310,999,0,999,R,S,310,N,Y
DLK2M130        ,130,999,0,999,R,S,130,N,Y
DLK2M230        ,230,999,0,999,R,S,230,N,Y
DLK2M290        ,290,999,0,999,R,S,290,N,Y
DLK2M300        ,300,999,0,999,R,S,300,N,Y
DLK3M230        ,230,999,0,999,R,S,230,N,Y
DLK4M230        ,230,999,0,999,R,S,230,N,Y
DLK4M300        ,300,999,0,999,R,S,300,N,Y
DLK5M300        ,300,999,0,999,R,S,300,N,Y
DLO1M190        ,190,999,0,999,R,S,190,Y,Y
DLO1M290        ,290,999,0,999,R,S,290,N,Y
DLO1M310        ,310,999,0,999,R,S,310,N,Y
DLO2M290        ,290,999,0,999,R,S,290,N,Y
DLO3M290        ,290,999,0,999,R,S,290,N,Y
DLO4M290        ,290,999,0,999,R,S,290,N,Y
DLS1M160        ,160,999,0,999,R,S,160,N,Y
DLS1M260        ,260,999,0,999,R,S,260,N,Y
DLS1M300        ,300,999,0,999,R,S,300,N,Y
DLS1M310        ,310,999,0,999,R,S,310,N,Y
DUU1M260        ,260,999,0,999,R,S,260,N,Y
DUU1M280        ,280,999,0,999,R,S,280,N,Y
DUU1M300        ,300,999,0,999,R,S,300,N,Y
DUU1M310        ,310,999,0,999,R,S,310,N,Y
DUU2M260        ,260,999,0,999,R,S,260,N,Y
DUU2M300        ,300,999,0,999,R,S,300,N,Y
DUU2M310        ,310,999,0,999,R,S,310,N,Y
DUU3M260        ,260,999,0,999,R,S,260,N,Y
DUU3M300        ,300,999,0,999,R,S,300,N,Y
DUU3M310        ,310,999,0,999,R,S,310,N,Y
DUU4M260        ,260,999,0,999,R,S,260,N,Y
DUU4M300        ,300,999,0,999,R,S,300,N,Y
DUU5M260        ,260,999,0,999,R,S,260,N,Y
DUU6M260        ,260,999,0,999,R,S,260,N,Y
DUU7M260        ,260,999,0,999,R,S,260,N,Y
DUU8M260        ,260,999,0,999,R,S,260,N,Y
DWW1M100        ,100,999,0,999,R,S,100,N,Y
DWW1M120        ,120,999,0,999,R,S,120,N,Y
DWW1M130        ,130,999,0,999,R,S,130,N,Y
DWW1M140        ,140,999,0,999,R,S,140,N,Y
DWW1M150        ,150,999,0,999,R,S,150,N,Y
DWW1M160        ,160,999,0,999,R,S,160,N,Y
DWW1M180        ,180,999,0,999,R,S,180,N,Y
DWW1M190        ,190,999,0,999,R,S,190,N,Y
DWW1M200        ,200,999,0,999,R,S,200,N,Y
DWW1M250        ,250,999,0,999,R,S,250,N,Y
DWW2M120        ,120,999,0,999,R,S,120,N,Y
DWW2M140        ,140,999,0,999,R,S,140,N,Y
VESALEDMS1      ,320,999,0,999,R,L,320,N,N
VESALETSH1      ,320,999,0,999,R,L,314,N,N
VESALETSI1      ,320,999,0,999,R,L,314,N,N
VESALETSI2      ,320,999,0,999,R,L,314,N,N
VESPEEDDB1      ,320,999,0,999,R,L,314,N,N
VESPEEDDN1      ,320,999,0,999,R,L,314,N,N
VESPEEDQD1      ,320,999,0,999,R,L,314,N,N
VESPEEPPO1      ,320,999,0,999,R,L,314,N,N
VESPEEPWR1      ,320,999,0,999,R,L,314,N,N
VESPEEPWR2      ,320,999,0,999,R,L,314,N,N
VESPEEPWR3      ,320,999,0,999,R,L,314,N,N
VESPELKPR1      ,320,999,0,999,R,L,314,N,N
DWW2M180        ,180,999,0,999,R,S,180,N,Y
DWW3M120        ,120,999,0,999,R,S,120,N,Y
IAALBEDAC1      ,290,999,0,999,R,L,290,N,N
IAALBEDDE1      ,250,999,0,999,R,L,250,N,N
IAALBEDDN1      ,140,999,0,999,R,L,140,N,N
IAALBEDDP1      ,290,999,0,999,R,L,290,N,N
IAALBEDGS1      ,300,999,0,999,R,L,300,N,N
IABBGEDDC1      ,270,999,0,999,R,L,270,N,N
IABBGEDDM1      ,270,999,0,999,R,L,270,N,N
IABBGEDDP1      ,230,999,0,999,R,L,230,N,N
IABBGETSI2      ,290,999,0,999,R,L,290,N,N
IAEGGEDMO1      ,90,999,0,999,R,L,90,N,N
IAEGGLOWI1      ,210,999,0,999,R,L,210,N,N
IAFRKLEDAC1     ,110,999,0,999,R,L,110,N,N
IAFRKLEDDE1     ,110,999,0,999,R,L,110,N,N
IAFRKLEDDE2     ,140,999,0,999,R,L,140,N,N
IAFRKLEDDP1     ,190,999,0,999,R,L,190,N,N
IAFRKLEDMS1     ,170,999,0,999,R,L,170,N,N
IAFUEEDDF1      ,280,999,0,999,R,L,280,N,N
IAFUEEDDM1      ,160,999,0,999,R,L,160,N,N
IAFUEEDDM2      ,120,999,0,999,R,L,120,N,N
IAFUEEDJA1      ,90,999,0,999,R,L,90,N,N
IAFUEEDMA1      ,80,999,0,999,R,L,80,N,N
IAFUEEDMO1      ,80,999,0,999,R,L,80,N,N
IAFUEETSI1      ,120,999,0,999,R,L,120,N,N
IAFUEETSL1      ,90,999,0,999,R,L,90,N,N
IAFUELIPB1      ,250,999,0,999,R,L,250,N,N
IAFUELOWI1      ,250,999,0,999,R,L,250,N,N
IAFUELSZS1      ,250,999,0,999,R,L,250,N,N
IAHOFEDAC1      ,210,999,0,999,R,L,210,N,N
IAHOFEDBM1      ,280,999,0,999,R,L,280,N,N
IAHOFEDDC1      ,290,999,0,999,R,L,290,N,N
IAHOFEDDF1      ,270,999,0,999,R,L,270,N,N
IAHOFEDDF2      ,260,999,0,999,R,L,260,N,N
IAHOFEDDS1      ,260,999,0,999,R,L,260,N,N
IAHOFEDDV1      ,300,999,0,999,R,L,300,N,N
IAHOFEDFE1      ,270,999,0,999,R,L,270,N,N
IAHOFEDJA1      ,260,999,0,999,R,L,260,N,N
IAHOFEDMA1      ,270,999,0,999,R,L,270,N,N
IAHOFEDMO1      ,270,999,0,999,R,L,270,N,N
IAHOFEDTY1      ,220,999,0,999,R,L,220,N,N
IAHOFETAR1      ,260,999,0,999,R,L,260,N,N
IAHOFETOU1      ,260,999,0,999,R,L,260,N,N
IAHOFETSI1      ,170,999,0,999,R,L,170,N,N
IANDDGLOWL1     ,310,999,0,999,R,L,310,N,N
IANDGEDDM1      ,160,999,0,999,R,L,160,N,N
IANDGEDDM2      ,140,999,0,999,R,L,140,N,N
IANDGEDDN1      ,200,999,0,999,R,L,200,N,N
IANDGEDJA1      ,80,999,0,999,R,L,80,N,N
IANDGEDMA1      ,80,999,0,999,R,L,80,N,N
IANDGEDMO1      ,90,999,0,999,R,L,90,N,N
IANDGETOU1      ,300,999,0,999,R,L,300,N,N
IANDGETSL1      ,80,999,0,999,R,L,80,N,N
IANDGLKKV1      ,310,999,0,999,R,L,310,N,N
IANDGLOWI1      ,200,999,0,999,R,L,200,N,N
IANDGLOWL1      ,310,999,0,999,R,L,310,N,N
IANDGLOWS1      ,200,999,0,999,R,L,200,N,N
IARDGEDDE1      ,260,999,0,999,R,L,260,N,N
IARDGEDDM1      ,110,999,110,999,R,L,110,N,N
IARDGEDDM2      ,150,999,0,999,R,L,150,N,N
IARDGEDDN1      ,210,999,0,999,R,L,210,N,N
IARDGEDDN2      ,140,999,0,999,R,L,140,N,N
IARDGEDDN3      ,210,999,0,999,R,L,210,N,Y
