CONDITIONID,TERMINAL_ACTION,AERODROMES_REGION,ACCOUNTING
AEP1M290        ,A,EPWR,I
AGG1M050        ,A,ETIK,I
AGG1M080        ,A,EDTY,I
AGG1M090        ,A,EDDS,I
AGG1M110        ,A,EDDS,I
AGG1M220        ,A,EDDF,I
AGG1M230        ,A,EDDF,I
AGG1M240        ,A,EDDF,I
AGG1M240        ,A,EDF ,I
AGG1M240        ,A,ETAR,I
AGG1M240        ,A,ETOU,I
AGG2M080        ,A,EDQG,I
AGG2M090        ,A,EDTY,I
AGG2M200        ,A,EDFM,I
AGG2M200        ,A,EDFV,I
AGG2M200        ,A,EDRY,I
AGG2M220        ,A,EDDF,I
AGG3M080        ,A,ETHN,I
AGG3M220        ,A,EDDF,I
AGG3M220        ,A,EDFE,I
AGG3M220        ,A,ETOU,I
AGG4M220        ,A,EDDR,I
AGG4M220        ,A,EDRZ,I
AGG4M220        ,A,EDSB,I
AGG4M220        ,A,ETAR,I
AGG5M220        ,A,EDFM,I
AGG5M220        ,A,EDFV,I
AGG5M220        ,A,EDRY,I
AGG6M220        ,A,EDDS,I
ALI1M230        ,A,LIPB,I
ALI1M290        ,A,LIME,I
ALI1M310        ,A,LIPQ,I
ALI2M230        ,A,LIPB,I
ALI2M290        ,A,LSZS,I
ALI2M310        ,A,LIPQ,I
ALI3M310        ,A,LIMC,I
ALI3M310        ,A,LIML,I
ALI4M310        ,A,LIPA,I
ALI4M310        ,A,LIPH,I
ALI4M310        ,A,LIPO,I
ALI4M310        ,A,LIPX,I
ALI4M310        ,A,LIPZ,I
ALI5M310        ,A,LIPA,I
ALI5M310        ,A,LIPH,I
ALI5M310        ,A,LIPO,I
ALI5M310        ,A,LIPX,I
ALI5M310        ,A,LIPZ,I
ALK1M110        ,A,LKKV,I
ALK1M140        ,A,LKKV,I
ALK1M170        ,A,LKKB,I
ALK1M170        ,A,LKPR,I
ALK1M170        ,A,LKVO,I
ALK1M180        ,A,LKKV,I
ALK1M190        ,A,LKKB,I
ALK1M190        ,A,LKMH,I
ALK1M190        ,A,LKPR,I
ALK1M190        ,A,LKVO,I
ALK1M220        ,A,LKCV,I
ALK1M220        ,A,LKHK,I
ALK1M220        ,A,LKKB,I
ALK1M220        ,A,LKMH,I
ALK1M220        ,A,LKPD,I
ALK1M220        ,A,LKPR,I
ALK1M220        ,A,LKVO,I
ALK1M230        ,A,LKCV,I
ALK1M230        ,A,LKHK,I
ALK1M230        ,A,LKPD,I
ALK1M250        ,A,LKCV,I
ALK1M250        ,A,LKHK,I
ALK1M250        ,A,LKKB,I
ALK1M250        ,A,LKMH,I
ALK1M250        ,A,LKPD,I
ALK1M250        ,A,LKPR,I
ALK1M250        ,A,LKVO,I
ALK1M270        ,A,LKCV,I
ALK1M270        ,A,LKHK,I
ALK1M270        ,A,LKKB,I
ALK1M270        ,A,LKMH,I
ALK1M270        ,A,LKPD,I
ALK1M270        ,A,LKPR,I
ALK1M270        ,A,LKVO,I
ALK1M310        ,A,LOWW,I
ALK2M190        ,A,LKMH,I
ALK2M230        ,A,LKCV,I
ALK2M230        ,A,LKHK,I
ALK2M230        ,A,LKPD,I
ALO1M080        ,A,LOWS,I
ALO1M090        ,A,LOWS,I
ALO1M130        ,A,LOWS,I
ALO1M150        ,A,LOWI,I
ALO1M160        ,A,LOWL,I
ALO1M270        ,A,LOWL,I
ALO2M080        ,A,LOWS,I
ALO2M130        ,A,LOWI,I
ALO2M160        ,A,LOWL,I
ALS1M080        ,A,EDNY,I
ALS1M080        ,A,LSZR,I
ALS1M160        ,A,EDTM,I
ALS1M190        ,A,LSZS,I
ALS1M200        ,A,LSMD,I
ALS1M200        ,A,LSZH,I
ALS1M240        ,A,EDDS,I
ALS1M240        ,A,EDFM,I
ALS1M240        ,A,EDSB,I
ALS1M240        ,A,EDT ,I
ALS1M240        ,A,ETAR,I
ALS1M240        ,A,LFST,I
ALS1M240        ,A,LSZS,I
ALS1M280        ,A,LFGA,I
ALS1M280        ,A,LFGB,I
ALS1M280        ,A,LFSB,I
ALS1M280        ,A,LFSC,I
ALS1M280        ,A,LFSM,I
ALS1M280        ,A,LSGC,I
ALS1M280        ,A,LSM ,I
ALS1M280        ,A,LSZ ,I
AUU1M280        ,A,LFGA,I
AUU1M280        ,A,LFJL,I
AUU1M280        ,A,LFSB,I
AUU1M280        ,A,LFST,I
AUU1M300        ,A,EDDK,I
AUU1M300        ,A,EDKZ,I
AUU1M300        ,A,EDLA,I
AUU1M300        ,A,EDLI,I
AUU1M300        ,A,EDLP,I
AUU1M300        ,A,EDLW,I
AUU1M300        ,A,EDVK,I
AUU2M280        ,A,EDDK,I
AUU2M280        ,A,EDFQ,I
AUU2M280        ,A,EDKZ,I
AUU2M280        ,A,EDLA,I
AUU2M280        ,A,EDLI,I
AUU2M280        ,A,EDLP,I
AUU2M280        ,A,EDLW,I
AUU2M280        ,A,EDVK,I
AUU3M280        ,A,EDDR,I
AUU3M280        ,A,EDRZ,I
AUU3M280        ,A,EDSB,I
AWW1M080        ,A,EDBC,I
AWW1M080        ,A,EDBM,I
AWW1M100        ,A,EDCD,I
AWW1M110        ,A,ETSH,I
AWW1M120        ,A,EDAZ,I
AWW1M130        ,A,EDAZ,I
AWW1M180        ,A,EDVE,I
AWW1M190        ,A,EDBC,I
AWW1M190        ,A,EDBM,I
AWW1M220        ,A,EDDV,I
AWW1M220        ,A,ETNW,I
