SITUATION_LINEID,LONG_DESCRIPTION,AREA_CONTOURID,FIGURE_INDICATOR
NDGLCH1     ,,,S
NDGTEG1     ,,,S
RDGALB1     ,,,S
RDGALB2     ,,,S
RDGBBG1     ,,,S
RDGDMN1     ,,,S
SASLFRKL1   ,,,S
SASLTRGL1   ,,,S
SASTRGS1    ,,,S
SASTRGS2    ,,,S
STADMS1     ,,,S
STAFUE1     ,,,S
STANDG1     ,,,S
STATEG1     ,,,S
STAZUG1     ,,,S
TEGLOWI1    ,,,S
TEGSTA1     ,,,S
TRGLFRKL1   ,,,S
TRGLSASL1   ,,,S
TRGNTRGS1   ,,,S
TRGSHOF1    ,,,S
TRGSHOF2    ,,,S
TRGSSAS1    ,,,S
TRGSSASH1   ,,,S
TRGSTRGN1   ,,,S
UUALAXA     ,,,S
UUAMOSA     ,,,S
UUDIMSU     ,,,S
UUEBEBKU    ,,,S
UUEBERAS    ,,,S
UUEBESNI    ,,,S
UUEEBASA    ,,,S
UUEERNAS    ,,,S
UUEESLOR    ,,,S
UUEETNUS    ,,,S
UUEGALMA    ,,,S
UUEGOLMO    ,,,S
UUEKOBUS    ,,,S
UUEKOGOL    ,,,S
UUEKPT      ,,,S
UUELASGA    ,,,S
UUELASTO    ,,,S
UUELONLI    ,,,S
UUEMADEB    ,,,S
UUEMAH      ,,,S
UUEMANAL    ,,,S
UUEMOGTI    ,,,S
UUEMOMUK    ,,,S
UUENAMUB    ,,,S
UUENARUS    ,,,S
UUENENUM    ,,,S
UUEOLASO    ,,,S
UUEPIKIB    ,,,S
UUERALIV    ,,,S
UUERATIP    ,,,S
UUERELKO    ,,,S
UUERIVSA    ,,,S
UUEROBDI    ,,,S
UUERODIS    ,,,S
UUERUDNO    ,,,S
UUESODRO    ,,,S
UUESTAUB    ,,,S
UUESULED    ,,,S
UUETADUV    ,,,S
UUETIVDA    ,,,S
UUETONSU    ,,,S
UUETULSI    ,,,S
UUEUNAVI    ,,,S
UUEUPALA    ,,,S
UUEXATER    ,,,S
UUINBED     ,,,S
UUKOMIB     ,,,S
UUKUNOD     ,,,S
UULORBO     ,,,S
UUMEXIT     ,,,S
UUPELOG     ,,,S
UUPETIX     ,,,S
UUPILAM     ,,,S
UUROBEL     ,,,S
UUSULUS     ,,,S
UUTAMEB     ,,,S
UUTESDU     ,,,S
UUULMEX     ,,,S
UUVABKIS    ,,,S
UUVALAR     ,,,S
UUVALAXA    ,,,S
UUVBAMKI    ,,,S
UUVBAMTA    ,,,S
UUVBEBKU    ,,,S
UUVBEMKI    ,,,S
UUVDESAR    ,,,S
UUVEBEDA    ,,,S
UUVEKPEK    ,,,S
UUVEKSOS    ,,,S
UUVERETO    ,,,S
UUVESOBU    ,,,S
UUVGALMA    ,,,S
UUVGARKI    ,,,S
UUVINN      ,,,S
UUVKOBUS    ,,,S
UUVKOGOL1   ,,,S
UUVKOGOL2   ,,,S
UUVKONIN    ,,,S
UUVKPT      ,,,S
UUVKULOK    ,,,S
UUVLALIN    ,,,S
UUVLUROS    ,,,S
UUVMADEB    ,,,S
UUVMAGDA    ,,,S
UUVMAH      ,,,S
UUVMAMOR    ,,,S
UUVMIQ      ,,,S
UUVNARUS    ,,,S
