AIRSPACE_VOLUMEID,LONG_DESCRIPTION,AREA_CONTOURID,BAROM_STATIONID,LIMITS_MAGNITUDE,LOWER_FACE_LIMIT,UPPER_FACE_LIMIT
EVTRGN1A    ,,EVTRGN1A    ,,F,245,285
EVTRGN1B    ,,EVTRGN1B    ,,F,285,999
EVTRGN3A    ,,EVTRGN3A    ,,F,245,285
EVTRGN3B    ,,EVTRGN3B    ,,F,285,315
EVTRGN3C    ,,EVTRGN3C    ,,F,315,999
EVTRGN4A    ,,EVTRGN4A    ,,F,245,285
EVTRGN4B    ,,EVTRGN4B    ,,F,285,315
EVTRGN4C    ,,EVTRGN4C    ,,F,315,999
AIYEDGG14X  ,,AIYEDGG14X  ,,F,0,246
AIYEDGG15X  ,,AIYEDGG15X  ,,F,0,246
AIYEDGG12X  ,,AIYEDGG12X  ,,F,0,246
AIYEDGG18X  ,,AIYEDGG18X  ,,F,0,246
AIYEDGG06X  ,,AIYEDGG06X  ,,F,0,246
AIYEDGG04X  ,,AIYEDGG04X  ,,F,0,246
AIYLOW5X    ,,AIYLOW5X    ,,F,0,246
AIYLOW4X    ,,AIYLOW4X    ,,F,0,246
AIYLOW3X    ,,AIYLOW3X    ,,F,0,246
AIYEDGG09X  ,,AIYEDGG09X  ,,F,0,246
AIREIMS1AI  ,,AIREIMS1AI  ,,F,244,356
AIREIMS1BI  ,,AIREIMS1BI  ,,F,354,376
AIREIMS2AI  ,,AIREIMS2AI  ,,F,244,326
AIREIMS2BI  ,,AIREIMS2BI  ,,F,324,356
AIREIMS2CI  ,,AIREIMS2CI  ,,F,354,376
AINTM1AI    ,,AINTM1AI    ,,F,244,326
AINTM1BI    ,,AINTM1BI    ,,F,324,356
AINTM1CI    ,,AINTM1CI    ,,F,354,376
AIBINKA1AX  ,,AIBINKA1AX  ,,F,244,286
AIBINKA1BI  ,,AIBINKA1BI  ,,F,284,366
AIBINKA1CI  ,,AIBINKA1CI  ,,F,364,999
AIALUKA1AX  ,,AIALUKA1AX  ,,F,244,286
AIALUKA1BI  ,,AIALUKA1BI  ,,F,284,366
AIALUKA1CI  ,,AIALUKA1CI  ,,F,364,999
AIALUKA2BI  ,,AIALUKA2BI  ,,F,284,366
AIALUKA2CI  ,,AIALUKA2CI  ,,F,364,999
