AIRSPACE_VOLUMEID,HOLDING_VOLUMEID
HVABUH      ,HVABUH
HVBOMBH     ,HVBOMBH
HVDEMAH     ,HVDEMAH
HVDKBH      ,HVDKBH
HVDRNH      ,HVDRNH
HVKOVH      ,HVKOVH
HVLANDU     ,HVLANDU
HVLATH      ,HVLATH
HVNIMH      ,HVNIMH
HVRMSH      ,HVRMSH
HVSOPLH     ,HVSOPLH
HVSULH      ,HVSULH
HVTESGH     ,HVTESGH
HVTONSH     ,HVTONSH
HVWURH      ,HVWURH
HVBETOS     ,HVBETOS
HVERNAS     ,HVERNAS
HVGERDO     ,HVGERDO
HVKPT       ,HVKPT
HVLASTO     ,HVLASTO
HVNERID     ,HVNERID
HVNETES     ,HVNETES
HVOBAGA     ,HVOBAGA
HVROKIL     ,HVROKIL
HVWEMARENR  ,HVWEMARENR
HVWEMARLOW  ,HVWEMARLOW
