HOLDING_VOLUMEID,LONG_DESCRIPTION,HOLDING_FIXID,INBOUND_COURSE,TURN_DIRECTION,LEG_DURATION,PATTERN_TIME,DEFAULT_USAGE
HVABUH      ,,ABUH ,188,L,1,1,Y
HVBOMBH     ,,BOMH ,88,L,1,1,Y
HVDEMAH     ,,DEMH ,313,R,1,1,Y
HVDKBH      ,,DKBH ,130,L,1,1,Y
HVDRNH      ,,DRNH ,122,L,1,1,Y
HVKOVH      ,,KOVH ,7,R,1,1,Y
HVLANDU     ,,LANDU,213,L,1,1,Y
HVLATH      ,,LATH ,287,L,1,1,Y
HVNIMH      ,,NIMH ,277,R,1,1,Y
HVRMSH      ,,RMSH ,103,L,1,1,Y
HVSOPLH     ,,SOPH ,61,R,1,1,Y
HVSULH      ,,SULH ,190,R,1,1,Y
HVTESGH     ,,TESH ,147,L,1,1,Y
HVTONSH     ,,TONH ,108,L,1,1,Y
HVWURH      ,,WURH ,266,L,1,1,Y
HVBETOS     ,,BETOS,67,R,1,1,Y
HVERNAS     ,,ERNAS,277,R,1,1,Y
HVGERDO     ,,GERDO,83,R,1,1,Y
HVKPT       ,,KPT  ,250,R,1,1,Y
HVLASTO     ,,LASTO,83,L,1,1,Y
HVNERID     ,,NERID,263,L,1,1,Y
HVNETES     ,,NETES,203,R,1,1,Y
HVOBAGA     ,,OBAGA,360,R,1,1,Y
HVROKIL     ,,ROKIL,126,R,1,1,Y
HVWEMARENR  ,,WEMAR,240,L,1,1,N
HVWEMARLOW  ,,WEMAR,240,L,1,1,Y
