SITUATION_LINEID,LOCATION_FORMAT,POINT_LOCATION,SEQUENCE_NUMBER,SEGMENT_COURSE,CIRCLE_RADIUS
ALBBBG1     ,G,492534N0114851E,2,S,0
ALBBBG1     ,G,492607N0105800E,1,S,0
ALBFRKL1    ,G,490630N0104341E,1,S,0
ALBFRKL1    ,G,490900N0115657E,2,S,0
ALBWLD1     ,G,485307N0110158E,1,S,0
ALBWLD1     ,G,491053N0103622E,2,S,0
BBGHOF1     ,G,493254N0115631E,3,S,0
BBGHOF1     ,G,500311N0111705E,2,S,0
BBGHOF1     ,G,503854N0111735E,1,S,0
BBGRDG1     ,G,492930N0115419E,3,S,0
BBGRDG1     ,G,493915N0123152E,1,S,0
BBGRDG1     ,G,494024N0122058E,2,S,0
BBGTRGS1    ,G,503855N0104227E,1,S,0
BBGTRGS1    ,G,503941N0111923E,2,S,0
DMNALB1     ,G,483930N0111929E,1,S,0
DMNALB1     ,G,483930N0114727E,2,S,0
DMNEGG1     ,G,482341N0123631E,2,S,0
DMNEGG1     ,G,483453N0123345E,1,S,0
DMNLCH1     ,G,480300N0110052E,1,S,0
DMNLCH1     ,G,482211N0110039E,2,S,0
DMNLCH1     ,G,483028N0104750E,3,S,0
DMNNDG1     ,G,483015N0104802E,1,S,0
DMNNDG1     ,G,483707N0105457E,2,S,0
DMNNDG2     ,G,483148N0114747E,2,S,0
DMNNDG2     ,G,483153N0111111E,1,S,0
DMNRDG1     ,G,483928N0114744E,1,S,0
DMNRDG1     ,G,483928N0121416E,2,S,0
DMSEGG1     ,G,481534N0123916E,2,S,0
DMSEGG1     ,G,482517N0123515E,1,S,0
DMSFUE1     ,G,475545N0110642E,1,S,0
DMSFUE1     ,G,480218N0110042E,2,S,0
DMSFUE1     ,G,480842N0110028E,3,S,0
DMSLCH1     ,G,481022N0110037E,1,S,0
DMSLCH1     ,G,482033N0110042E,2,S,0
DMSTEG1     ,G,475826N0113621E,1,S,0
DMSTEG1     ,G,480320N0122704E,2,S,0
EGGDMN1     ,G,481715N0124108E,1,S,0
EGGDMN1     ,G,483430N0123537E,2,S,0
EGGTEG1     ,G,481713N0123935E,1,S,0
EGGTEG1     ,G,482655N0115841E,2,S,0
EPLASIS     ,G,511826N0145904E,2,S,0
EPLASIS     ,G,512935N0145008E,1,S,0
FRKLALB1    ,G,490752N0104059E,3,S,0
FRKLALB1    ,G,491030N0115427E,2,S,0
FRKLALB1    ,G,491059N0103606E,4,S,0
FRKLALB1    ,G,493743N0123309E,1,S,0
FRKLRDG1    ,G,492930N0115419E,3,S,0
FRKLRDG1    ,G,493915N0123152E,1,S,0
FRKLRDG1    ,G,494024N0122058E,2,S,0
FRKLSASL1   ,G,502605N0124257E,2,S,0
FRKLSASL1   ,G,503554N0121819E,1,S,0
FRKLTRGL1   ,G,503602N0121747E,3,S,0
FRKLTRGL1   ,G,503945N0112059E,1,S,0
FRKLTRGL1   ,G,504035N0120622E,2,S,0
FRKLTRGL2   ,G,503902N0104227E,1,S,0
FRKLTRGL2   ,G,503952N0111929E,2,S,0
FUEDMS1     ,G,475432N0110532E,2,S,0
FUEDMS1     ,G,475517N0111501E,3,S,0
FUEDMS1     ,G,480125N0105928E,1,S,0
FUELCH1     ,G,474820N0095414E,1,S,0
FUELCH1     ,G,474954N0102324E,2,S,0
FUELCH1     ,G,480109N0105922E,3,S,0
FUENDG1     ,G,481924N0105933E,2,S,0
FUENDG1     ,G,482141N0093312E,1,S,0
FUEZUG1     ,G,472943N0102550E,2,S,0
FUEZUG1     ,G,473250N0094358E,1,S,0
FUEZUG1     ,G,473557N0105904E,3,S,0
GGABTAL     ,G,484930N0095047E,1,S,0
GGABTAL     ,G,485549N0100509E,2,S,0
GGASPAT     ,G,491031N0103706E,1,S,0
GGASPAT     ,G,492056N0105150E,2,S,0
GGDINKU     ,G,491054N0103649E,1,S,0
GGDINKU     ,G,491923N0102642E,2,S,0
GGDKB       ,G,485709N0100816E,1,S,0
GGDKB       ,G,490857N0103607E,2,S,0
GGELVAG     ,G,485659N0100827E,1,S,0
GGELVAG     ,G,485950N0101510E,2,S,0
GGERSIL     ,G,510430N0103729E,1,S,0
GGERSIL     ,G,511130N0103235E,2,S,0
GGESEGU     ,G,511245N0103524E,1,S,0
GGESEGU     ,G,512152N0103206E,2,S,0
GGGORKO     ,G,495722N0102020E,1,S,0
GGGORKO     ,G,501330N0101921E,2,S,0
GGGORKO     ,G,503647N0104153E,3,S,0
GGGORKO2    ,G,501207N0102023E,1,S,0
GGGORKO2    ,G,501837N0102606E,2,S,0
GGGORKO3    ,G,500005N0103418E,1,S,0
GGGORKO3    ,G,501450N0101835E,2,S,0
GGGUDOM     ,G,500900N0103152E,1,S,0
GGGUDOM     ,G,501452N0102059E,2,S,0
GGIBAGA     ,G,493431N0103836E,1,S,0
GGIBAGA     ,G,493952N0104823E,2,S,0
GGIBAGA     ,G,495851N0103147E,3,S,0
GGKEGOS     ,G,493004N0110020E,1,S,0
GGKEGOS     ,G,494538N0104613E,2,S,0
GGKEGOS2    ,G,493020N0110050E,1,S,0
GGKEGOS2    ,G,494054N0105012E,2,S,0
GGLETKU     ,G,485747N0100924E,1,S,0
GGLETKU     ,G,490956N0103907E,2,S,0
GGLETKU     ,G,492012N0102823E,3,S,0
GGLETKU     ,G,493022N0104155E,4,S,0
GGLUPOL     ,G,481345N0094739E,1,S,0
GGLUPOL     ,G,481653N0095558E,2,S,0
GGODEGU     ,G,491340N0103754E,1,S,0
GGODEGU     ,G,492042N0102558E,2,S,0
GGOLASO     ,G,483414N0093935E,1,S,0
GGOLASO     ,G,484223N0094621E,2,S,0
GGPELOG     ,G,481116N0094252E,1,S,0
GGPELOG     ,G,481527N0094930E,2,S,0
GGSUKAD     ,G,493036N0103058E,1,S,0
GGSUKAD     ,G,493854N0104607E,2,S,0
GGSULUS     ,G,500016N0103133E,1,S,0
GGSULUS     ,G,500750N0103150E,2,S,0
GGTAMEB     ,G,504252N0105025E,1,S,0
GGTAMEB     ,G,505322N0104153E,2,S,0
GGTEKSI     ,G,481846N0095924E,1,S,0
GGTEKSI     ,G,484511N0101438E,2,S,0
GGVAGAB     ,G,503115N0103650E,1,S,0
GGVAGAB     ,G,503822N0104350E,2,S,0
HOFBBG1     ,G,493247N0120213E,1,S,0
HOFBBG1     ,G,500338N0112048E,2,S,0
HOFBBG1     ,G,503900N0112148E,3,S,0
HOFBBG2     ,G,493247N0120213E,1,S,0
HOFBBG2     ,G,500338N0112048E,2,S,0
HOFBBG2     ,G,503900N0112148E,3,S,0
HOFTRGS2    ,G,503605N0121744E,3,S,0
HOFTRGS2    ,G,503945N0112107E,1,S,0
