SITUATION_LINEID,ROUTE_CONDITIONID,PRIORITY_NUMBER
UUVEKPEK    ,UU3EKPEK        ,2
UUVEKSOS    ,UU1EKSOS        ,1
UUVERETO    ,UU1AKOSI        ,3
UUVERETO    ,UU1ERETO        ,1
UUVERETO    ,UU1RONIG        ,2
UUVESOBU    ,UU1ESOBU        ,1
UUVGALMA    ,UU1GALMA        ,1
UUVGALMA    ,UU1SUVUT        ,3
UUVGALMA    ,UU2GALMA        ,2
UUVGALMA    ,UU3GALMA        ,4
UUVGARKI    ,UU1GARKI        ,1
UUVGARKI    ,UU2RENDO        ,3
UUVGARKI    ,UU5KOBUS        ,2
UUVINN      ,UU1INN          ,1
UUVKOBUS    ,UU1KOBUS        ,1
UUVKOBUS    ,UU2KOBUS        ,2
UUVKOBUS    ,UU3KOBUS        ,3
UUVKOBUS    ,UU4KOBUS        ,4
UUVKOGOL1   ,UU1KOGOL        ,1
UUVKOGOL2   ,UU2KOGOL        ,1
UUVKOGOL2   ,UU3KOGOL        ,2
UUVKONIN    ,UU1KONIN        ,1
UUVKPT      ,UU1KPT          ,1
UUVKPT      ,UU2KPT          ,2
UUVKPT      ,UU3KPT          ,3
UUVKULOK    ,UU1KULOK        ,1
UUVKULOK    ,UU1NOGRA        ,2
UUVKULOK    ,UU2ERETO        ,3
UUVLALIN    ,UU1LALIN        ,1
UUVLUROS    ,UU1LUROS        ,1
UUVMADEB    ,UU1MADEB        ,1
UUVMAGDA    ,UU1MAGDA        ,1
UUVMAH      ,UU1MAH          ,1
UUVMAMOR    ,UU1MAMOR        ,1
UUVMIQ      ,UU1MIQ          ,1
UUVNARUS    ,UU1NARUS        ,1
UUVNESES    ,UU1NESES        ,1
UUVNORIN    ,UU1NORIN        ,1
UUVRENDO    ,UU1RENDO        ,1
UUVRIDAR    ,UU1RIDAR        ,1
UUVRIVSA    ,UU1EKPEK        ,2
UUVRIVSA    ,UU1RIVSA        ,1
UUVROBDI    ,UU1ROBDI        ,1
UUVRUDNO1   ,UU1RUDNO        ,1
UUVRUDNO2   ,UU2RUDNO        ,1
UUVSODRO    ,UU1SODRO        ,1
UUVSODRO    ,UU2SODRO        ,2
UUVTALEG    ,UU1TALEG        ,1
UUVTULSI    ,UU1TULSI        ,1
UUVTUNUM    ,UU1TUNUM        ,1
UUVUNAVI    ,UU2KULOK        ,2
UUVUNAVI    ,UU2RONTU        ,3
UUVUNAVI    ,UU2UNAVI        ,1
UUVURONA    ,UU1RONTU        ,2
UUVURONA    ,UU1UNAVI        ,1
UUVXEBIX    ,UU1XEBIX        ,1
WLDNDG1     ,IAWLDEDDM1      ,4
WLDNDG1     ,IAWLDEDDM2      ,3
WLDNDG1     ,IDWLDEDDN1      ,1
WLDNDG1     ,IDWLDEDTY1      ,2
WWABLOX     ,AWW2M230        ,1
WWABLOX     ,DWW1M130        ,2
WWBIRKO     ,AWW1M180        ,3
WWBIRKO     ,AWW1M220        ,2
WWBIRKO     ,DWW1M200        ,1
WWKENIG     ,DWW1M250        ,1
WWKOBUS     ,AWW1M100        ,3
WWKOBUS     ,AWW1M290        ,4
WWKOBUS     ,DWW1M150        ,2
WWKOBUS     ,DWW2M140        ,1
WWKUMER     ,AWW2M180        ,2
WWKUMER     ,DWW1M180        ,1
WWLELMA     ,AWW1M130        ,2
WWLELMA     ,AWW1M230        ,1
WWLORBO     ,AWW2M080        ,2
WWLORBO     ,AWW2M220        ,1
WWODLUN     ,AWW1M080        ,5
WWODLUN     ,AWW3M180        ,4
WWODLUN     ,DWW1M120        ,1
WWODLUN     ,DWW1M190        ,3
WWODLUN     ,DWW2M180        ,2
WWOGSEN     ,DWW1M160        ,1
WWOSKAN     ,AWW2M120        ,4
WWOSKAN     ,AWW3M220        ,2
WWOSKAN     ,DWW1M140        ,3
WWOSKAN     ,DWW3M120        ,1
WWRUDAK     ,DWW1M100        ,1
WWTADUV     ,AWW1M120        ,2
WWTADUV     ,AWW1M240        ,1
WWTADUV     ,AWW2M110        ,3
WWUMBAL     ,DWW2M120        ,1
WWVATUB     ,AWW1M110        ,1
ZUGFUE1     ,IAZUGEDDS1      ,3
ZUGFUE1     ,IAZUGEDJA1      ,2
ZUGFUE1     ,IAZUGEDNY1      ,5
ZUGFUE1     ,IAZUGEDSB1      ,4
ZUGFUE1     ,IAZUGLSZH1      ,6
ZUGFUE1     ,IDZUGLOWI1      ,1
ZUGSTA1     ,IAZUGLOWS1      ,6
ZUGSTA1     ,IDZUGEDJA1      ,1
ZUGSTA1     ,IDZUGEDNY1      ,5
ZUGSTA1     ,IDZUGLSZH1      ,2
ZUGSTA1     ,IDZUGLSZH2      ,3
ZUGSTA1     ,IDZUGLSZS1      ,4
ALBBBG1     ,IAALBEDAC1      ,6
ALBBBG1     ,IAALBEDDE1      ,7
ALBBBG1     ,IAALBEDDP1      ,5
ALBBBG1     ,IAALBEDGS1      ,8
ALBBBG1     ,IDALBEDDM1      ,3
ALBBBG1     ,IDALBEDDM2      ,1
ALBBBG1     ,IDALBEDDM3      ,2
ALBBBG1     ,IDALBETSI1      ,4
ALBBBG1     ,IDALBETSI2      ,9
ALBFRKL1    ,IAALBEDDN1      ,1
ALBWLD1     ,IDALBEDDM4      ,1
BBGHOF1     ,IABBGEDDC1      ,3
BBGHOF1     ,IABBGEDDP1      ,4
BBGHOF1     ,IDBBGEDDF1      ,2
BBGHOF1     ,IDBBGEDDS1      ,1
BBGRDG1     ,IABBGEDDM1      ,1
BBGRDG1     ,IAFRKLEDMS1     ,2
BBGTRGS1    ,IAHOFEDAC1      ,4
BBGTRGS1    ,IAHOFEDBM1      ,6
BBGTRGS1    ,IAHOFEDDV1      ,5
BBGTRGS1    ,IDBBGEDDM1      ,1
BBGTRGS1    ,IDFRKLEDQ2      ,2
DMNALB1     ,IDDMNEDDM2      ,1
DMNALB1     ,IDDMNEDMA1      ,2
DMNEGG1     ,IDDMNEDMA5      ,1
DMNLCH1     ,IDDMNEDMA3      ,1
DMNNDG1     ,IDDMNEDDM1      ,1
DMNNDG1     ,IDDMNEDMA2      ,2
DMNNDG1     ,IDDMNEDMO1      ,3
DMNNDG2     ,IDDMNEDMO2      ,1
DMNRDG1     ,IDDMNEDDM5      ,1
DMNRDG1     ,IDDMNEDMA4      ,2
DMSEGG1     ,IDDMSEDDM1      ,1
DMSFUE1     ,IDDMSEDDM2      ,1
DMSFUE1     ,IDDMSEDMA2      ,2
DMSFUE1     ,IDDMSEDMO1      ,3
DMSLCH1     ,IDDMSEDDM3      ,1
DMSTEG1     ,IDDMSEDDM4      ,1
DMSTEG1     ,IDDMSEDMA1      ,2
DMSTEG1     ,IDDMSEDMO2      ,3
EGGDMN1     ,IAEGGEDMO1      ,1
EGGTEG1     ,IAEGGLOWI1      ,1
EPLASIS     ,AEP1M290        ,1
EPLASIS     ,DEP1M310        ,2
FRKLALB1    ,IDFRKLEDDN1     ,1
FRKLRDG1    ,IABBGETSI2      ,4
FRKLRDG1    ,IAHOFETSI1      ,5
FRKLRDG1    ,IDFRKLEDQ3      ,1
FRKLRDG1    ,IDHOFEDAC1      ,2
FRKLRDG1    ,IDHOFEDDE1      ,3
FRKLSASL1   ,IAHOFEDDC1      ,2
FRKLSASL1   ,IDFRKLEDQ1      ,1
FRKLTRGL1   ,IAFRKLEDAC1     ,2
FRKLTRGL1   ,IAFRKLEDDE2     ,1
FRKLTRGL2   ,IAFRKLEDDE1     ,1
FUEDMS1     ,IAFUEEDDM1      ,2
FUEDMS1     ,IAFUEEDDM2      ,1
FUEDMS1     ,IAFUEEDMA1      ,3
FUEDMS1     ,IAFUEEDMO1      ,4
FUEDMS1     ,IAFUEETSI1      ,5
FUELCH1     ,IAFUEEDJA1      ,2
FUELCH1     ,IAFUEETSL1      ,1
FUENDG1     ,IAFUEEDDF1      ,1
FUEZUG1     ,IAFUELIPB1      ,6
FUEZUG1     ,IAFUELSZS1      ,5
FUEZUG1     ,IDFUEEDDS1      ,3
FUEZUG1     ,IDFUEEDJA1      ,2
FUEZUG1     ,IDFUEEDMA1      ,1
FUEZUG1     ,IDFUEEDNY1      ,4
GGABTAL     ,DGG1M200        ,1
GGASPAT     ,AGG1M240        ,1
GGDINKU     ,DGG2M130        ,1
GGDKB       ,AGG1M080        ,1
GGDKB       ,DGG1M240        ,2
GGELVAG     ,AGG1M200        ,1
GGELVAG     ,DGG3M200        ,2
GGERSIL     ,AGG2M220        ,2
GGERSIL     ,DGG1M160        ,1
GGESEGU     ,DGG4M200        ,1
GGGORKO     ,DGG4M130        ,1
GGGORKO2    ,DGG1M210        ,1
GGGORKO3    ,AAG2M240        ,1
GGGUDOM     ,AGG2M200        ,2
GGGUDOM     ,AGG4M220        ,1
GGIBAGA     ,AGG2M080        ,1
GGKEGOS     ,DGG1M150        ,1
GGKEGOS2    ,AGG6M220        ,2
GGKEGOS2    ,DGG3M180        ,1
GGLETKU     ,AGG1M050        ,2
GGLETKU     ,AGG3M080        ,1
GGLUPOL     ,DGG1M080        ,1
GGLUPOL     ,DGG1M130        ,2
GGODEGU     ,AGG2M090        ,1
GGOLASO     ,AGG1M220        ,1
GGOLASO     ,DGG2M200        ,2
GGPELOG     ,DGG2M080        ,1
GGSUKAD     ,DGG3M130        ,1
GGSULUS     ,AGG5M220        ,2
GGSULUS     ,DGG2M180        ,1
GGTAMEB     ,AGG1M230        ,1
GGTEKSI     ,AGG1M090        ,2
GGTEKSI     ,AGG1M110        ,1
GGTEKSI     ,DGG1M220        ,3
GGTEKSI     ,DGG2M220        ,4
GGVAGAB     ,AGG3M220        ,1
GGVAGAB     ,DGG1M180        ,2
HOFBBG1     ,IAHOFEDDC1      ,9
HOFBBG1     ,IAHOFEDDF1      ,7
HOFBBG1     ,IAHOFEDDF2      ,8
HOFBBG1     ,IAHOFEDDS1      ,1
HOFBBG1     ,IAHOFEDJA1      ,6
HOFBBG1     ,IAHOFEDMA1      ,4
HOFBBG1     ,IAHOFEDMO1      ,5
HOFBBG1     ,IDHOFLKPR1      ,2
HOFBBG1     ,IDHOFLKPR2      ,3
HOFBBG2     ,IAHOFEDDS1      ,2
HOFBBG2     ,IAHOFEDFE1      ,3
HOFBBG2     ,IAHOFEDTY1      ,6
HOFBBG2     ,IAHOFETAR1      ,4
HOFBBG2     ,IAHOFETOU1      ,1
HOFBBG2     ,IDHOFEDDC2      ,5
HOFTRGS2    ,IAFRKLEDDP1     ,2
HOFTRGS2    ,IDHOFEDDN1      ,1
HOFTRGS2    ,IDHOFEDDS1      ,3
LCHFUE1     ,IDLCHEDJA1      ,1
LCHFUE1     ,IDLCHLETSL2     ,2
LCHLNDG1    ,IDLCHLETSL1     ,1
LCHREU1     ,IDLCHEDJA2      ,1
LINATAG     ,ALI1M290        ,1
LINATAG     ,ALI3M310        ,2
LINATAG     ,ALI4M310        ,3
LIOLPIX     ,ALI1M310        ,4
LIOLPIX     ,ALI2M230        ,6
LIOLPIX     ,ALI2M290        ,3
LIOLPIX     ,ALI5M310        ,5
LIOLPIX     ,DLI1M310        ,1
LIOLPIX     ,DLI3M310        ,2
LIOTRES     ,ALI1M230        ,5
LIOTRES     ,ALI2M310        ,4
LIOTRES     ,DLI1M270        ,1
LIOTRES     ,DLI2M310        ,2
LIOTRES     ,DLI4M310        ,3
LKAGNAV     ,ALK1M180        ,3
LKAGNAV     ,ALK1M220        ,2
LKAGNAV     ,DLK1M300        ,1
LKBEPAS     ,DLK5M300        ,1
LKDEKOV     ,DLK1M150        ,1
LKDOMAL     ,ALK1M270        ,1
LKHDO       ,ALK1M190        ,1
LKHDO       ,ALK1M230        ,2
LKHDO       ,DLK1M090        ,6
LKHDO       ,DLK1M130        ,5
LKHDO       ,DLK1M230        ,4
LKHDO       ,DLK1M310        ,3
LKLALUK     ,ALK1M170        ,1
LKLALUK     ,DLK2M130        ,2
LKMAREM     ,ALK1M140        ,5
